快线,慢线,总收益率,最大回撤,夏普比率
20,60,0.024149670027055255,-0.06846084078891324,0.4745860796790033
15,50,-0.0058327848763965445,-0.07347960892922811,-0.06524588525195106
15,60,-0.012789000556931024,-0.06846084078891279,-0.23033420200750113
20,50,-0.018612695766800424,-0.078457748533038,-0.2685394607287701
20,80,-0.02580373401337056,-0.06846084078891301,-0.5552766389100073
10,60,-0.03870281317868921,-0.08435548957965511,-0.790025627126517
5,60,-0.03915555645022232,-0.08368082884840922,-0.8295475177808208
5,30,-0.04401597002845319,-0.06967011927967748,-0.6263567836187182
10,50,-0.052509339364923836,-0.08226882778781552,-0.9756117096474898
15,80,-0.055697180385479626,-0.08048236948678955,-1.1976594028456795
5,50,-0.057069492252167946,-0.06372160064027188,-1.0356877496471926
5,80,-0.09482580153155286,-0.11795293948296015,-1.9382701912382256
5,40,-0.09677809239010075,-0.11365831347167032,-1.4830018777113594
20,40,-0.09964025600525983,-0.10533018409086636,-1.5226472916818587
10,30,-0.1007850513250145,-0.11578820824965863,-1.5775722155441576
15,30,-0.10406170429820068,-0.18930368213786386,-0.941657520362597
10,80,-0.11128428101086228,-0.13493193686505156,-2.756132869926517
10,40,-0.11827395735004102,-0.11827395735004076,-1.918715243503514
20,30,-0.15197730545063987,-0.20451046598816347,-1.4995861391464882
15,40,-0.1528262059676632,-0.15282620596766316,-2.5022542168784403
